samples,mini_batches,train_loss,lr
16,1,2.6792,0.001
32,2,2.6633,0.001
48,3,2.3435,0.001
64,4,2.3325,0.001
80,5,2.1432,0.001
96,6,2.8418,0.001
112,7,3.4005,0.001
128,8,2.5728,0.001
144,9,1.6788,0.001
160,10,2.3456,0.001
176,11,3.0881,0.001
192,12,2.1006,0.001
208,13,3.6827,0.001
224,14,2.0386,0.001
240,15,3.1433,0.001
256,16,2.3497,0.001
272,17,2.3226,0.001
288,18,2.3273,0.001
304,19,2.1392,0.001
320,20,2.0437,0.001
336,21,2.2249,0.001
352,22,2.1871,0.001
368,23,2.0861,0.001
384,24,1.9753,0.001
400,25,2.3185,0.001
416,26,2.3913,0.001
432,27,2.1254,0.001
448,28,1.9261,0.001
464,29,1.8148,0.001
480,30,2.587,0.001
496,31,2.5149,0.001
512,32,2.3206,0.001
528,33,2.3347,0.001
544,34,1.7375,0.001
560,35,2.5053,0.001
576,36,1.8108,0.001
592,37,1.9092,0.001
608,38,2.0901,0.001
624,39,2.0606,0.001
640,40,1.8226,0.001
656,41,1.9752,0.001
672,42,1.7258,0.001
688,43,1.8525,0.001
704,44,2.1604,0.001
720,45,2.143,0.001
736,46,1.9346,0.001
752,47,2.0529,0.001
768,48,2.0593,0.001
784,49,2.8072,0.001
800,50,1.9139,0.001
816,51,2.0384,0.001
832,52,1.9819,0.001
848,53,1.7458,0.001
864,54,1.8589,0.001
880,55,1.6956,0.001
896,56,1.6263,0.001
912,57,2.105,0.001
928,58,1.5448,0.001
944,59,1.8804,0.001
960,60,2.0727,0.001
976,61,2.0969,0.001
992,62,2.7477,0.001
1008,63,1.9718,0.001
1024,64,1.985,0.001
1040,65,1.4662,0.001
1056,66,2.0759,0.001
1072,67,2.1418,0.001
1088,68,1.7184,0.001
1104,69,2.3434,0.001
1120,70,1.8265,0.001
1136,71,1.279,0.001
1152,72,2.2648,0.001
1168,73,2.4365,0.001
1184,74,1.6299,0.001
1200,75,2.4731,0.001
1216,76,2.0555,0.001
1232,77,1.5482,0.001
1248,78,2.3673,0.001
1264,79,2.158,0.001
1280,80,1.8618,0.001
1296,81,1.9802,0.001
1312,82,1.882,0.001
1328,83,2.5667,0.001
1344,84,2.0898,0.001
1360,85,1.7266,0.001
1376,86,1.7144,0.001
1392,87,1.7996,0.001
1408,88,1.9406,0.001
1424,89,1.8073,0.001
1440,90,1.6826,0.001
1456,91,2.5513,0.001
1472,92,2.1171,0.001
1488,93,1.9662,0.001
1504,94,2.1264,0.001
1520,95,2.2272,0.001
1536,96,1.6857,0.001
1552,97,1.6443,0.001
1568,98,1.8031,0.001
1584,99,1.5476,0.001
1600,100,1.5389,0.001
1616,101,1.784,0.001
1632,102,1.4201,0.001
1648,103,2.292,0.001
1664,104,2.1962,0.001
1680,105,2.0588,0.001
1696,106,1.9765,0.001
1712,107,1.9819,0.001
1728,108,2.0955,0.001
1744,109,2.4141,0.001
1760,110,1.4524,0.001
1776,111,2.0065,0.001
1792,112,1.9588,0.001
1808,113,1.39,0.001
1824,114,2.0587,0.001
1840,115,1.8508,0.001
1856,116,2.3204,0.001
1872,117,1.6774,0.001
1888,118,1.5673,0.001
1904,119,1.9366,0.001
1920,120,1.9424,0.001
1936,121,1.66,0.001
1952,122,1.9425,0.001
1968,123,1.8737,0.001
1984,124,1.9054,0.001
2000,125,1.9115,0.001
2016,126,1.6701,0.001
2032,127,1.8327,0.001
2048,128,2.3738,0.001
2064,129,1.5684,0.001
2080,130,1.5916,0.001
2096,131,1.9982,0.001
2112,132,2.1872,0.001
2128,133,1.3313,0.001
2144,134,1.7342,0.001
2160,135,1.3696,0.001
2176,136,1.7359,0.001
2192,137,1.6803,0.001
2208,138,2.0722,0.001
2224,139,1.6131,0.001
2240,140,1.8721,0.001
2256,141,1.955,0.001
2272,142,1.8969,0.001
2288,143,1.8909,0.001
2304,144,1.4387,0.001
2320,145,1.7031,0.001
2336,146,1.9082,0.001
2352,147,1.7487,0.001
2368,148,1.8254,0.001
2384,149,1.6972,0.001
2400,150,2.2541,0.001
2416,151,1.3937,0.001
2432,152,1.9875,0.001
2448,153,1.7152,0.001
2464,154,1.5148,0.001
2480,155,2.2292,0.001
2496,156,1.8684,0.001
2512,157,1.4815,0.001
2528,158,1.6788,0.001
2544,159,1.5452,0.001
2560,160,1.7428,0.001
2576,161,1.9112,0.001
2592,162,1.7946,0.001
2608,163,1.9939,0.001
2624,164,2.2889,0.001
2640,165,1.5299,0.001
2656,166,2.0012,0.001
2672,167,1.4824,0.001
2688,168,1.8797,0.001
2704,169,1.9438,0.001
2720,170,2.4172,0.001
2736,171,1.9218,0.001
2752,172,2.4696,0.001
2768,173,2.106,0.001
2784,174,2.2226,0.001
2800,175,2.151,0.001
2816,176,1.5589,0.001
2832,177,1.8948,0.001
2848,178,1.391,0.001
2864,179,1.7624,0.001
2880,180,1.1973,0.001
2896,181,1.4648,0.001
2912,182,1.5856,0.001
2928,183,1.8001,0.001
2944,184,1.6952,0.001
2960,185,1.6258,0.001
2976,186,1.7277,0.001
2992,187,1.7622,0.001
3008,188,1.4815,0.001
3024,189,1.8497,0.001
3040,190,1.6164,0.001
3056,191,1.8197,0.001
