samples,mini_batches,train_loss,lr
16,1,3.0286,0.001
32,2,3.1046,0.001
48,3,2.7861,0.001
64,4,2.3447,0.001
80,5,2.7881,0.001
96,6,2.1308,0.001
112,7,3.021,0.001
128,8,2.8153,0.001
144,9,2.4624,0.001
160,10,2.8964,0.001
176,11,2.6177,0.001
192,12,2.1458,0.001
208,13,2.2261,0.001
224,14,2.3186,0.001
240,15,2.1306,0.001
256,16,2.2154,0.001
272,17,2.4157,0.001
288,18,2.2953,0.001
304,19,2.4596,0.001
320,20,2.2318,0.001
336,21,2.246,0.001
352,22,2.0034,0.001
368,23,2.0896,0.001
384,24,2.1134,0.001
400,25,2.1486,0.001
416,26,2.1847,0.001
432,27,2.0849,0.001
448,28,2.0749,0.001
464,29,1.9553,0.001
480,30,2.217,0.001
496,31,2.2392,0.001
512,32,2.0488,0.001
528,33,2.0119,0.001
544,34,2.1106,0.001
560,35,2.1326,0.001
576,36,2.1095,0.001
592,37,2.0289,0.001
608,38,2.009,0.001
624,39,1.9774,0.001
640,40,1.9228,0.001
656,41,1.799,0.001
672,42,1.9211,0.001
688,43,2.0819,0.001
704,44,2.0465,0.001
720,45,1.9153,0.001
736,46,2.0725,0.001
752,47,1.8592,0.001
768,48,2.0265,0.001
784,49,1.9949,0.001
800,50,1.9851,0.001
816,51,2.0431,0.001
832,52,1.7627,0.001
848,53,1.901,0.001
864,54,1.8558,0.001
880,55,1.7325,0.001
896,56,1.8638,0.001
912,57,1.9313,0.001
928,58,1.8103,0.001
944,59,1.9701,0.001
960,60,1.7527,0.001
976,61,1.8798,0.001
992,62,1.7383,0.001
1008,63,1.9803,0.001
1024,64,1.6355,0.001
1040,65,1.7199,0.001
1056,66,1.7053,0.001
1072,67,1.8395,0.001
1088,68,1.7916,0.001
1104,69,1.5146,0.001
1120,70,1.7325,0.001
1136,71,1.9355,0.001
1152,72,1.9823,0.001
1168,73,1.817,0.001
1184,74,1.7059,0.001
1200,75,1.682,0.001
1216,76,1.7453,0.001
1232,77,1.6252,0.001
1248,78,1.6389,0.001
1264,79,1.7471,0.001
1280,80,1.7091,0.001
1296,81,1.4776,0.001
1312,82,1.8714,0.001
1328,83,2.0251,0.001
1344,84,1.8628,0.001
1360,85,1.7826,0.001
1376,86,1.5727,0.001
1392,87,1.7551,0.001
1408,88,1.8219,0.001
1424,89,1.6761,0.001
1437,90,1.475,0.001
1453,91,1.6068,0.001
1469,92,1.4736,0.001
1485,93,1.4914,0.001
1501,94,1.5841,0.001
1517,95,1.6432,0.001
1533,96,1.6768,0.001
1549,97,1.4687,0.001
1565,98,1.4292,0.001
1581,99,1.5479,0.001
1597,100,1.7028,0.001
1613,101,1.5645,0.001
1629,102,1.4215,0.001
1645,103,1.4218,0.001
1661,104,1.692,0.001
1677,105,1.4607,0.001
1693,106,1.3208,0.001
1709,107,1.8152,0.001
1725,108,1.4569,0.001
1741,109,1.5912,0.001
1757,110,1.5048,0.001
1773,111,1.5161,0.001
1789,112,1.6828,0.001
1805,113,1.5457,0.001
1821,114,1.7213,0.001
1837,115,1.4128,0.001
1853,116,1.4827,0.001
1869,117,1.48,0.001
1885,118,1.4115,0.001
1901,119,1.4278,0.001
1917,120,1.3507,0.001
1933,121,1.5764,0.001
1949,122,1.5925,0.001
1965,123,1.3671,0.001
1981,124,1.5283,0.001
1997,125,1.3427,0.001
2013,126,1.3651,0.001
2029,127,1.2085,0.001
2045,128,1.4065,0.001
2061,129,1.5518,0.001
2077,130,1.3682,0.001
2093,131,1.3237,0.001
2109,132,1.4521,0.001
2125,133,1.3198,0.001
2141,134,1.2763,0.001
2157,135,1.3838,0.001
2173,136,1.3948,0.001
2189,137,1.4529,0.001
2205,138,1.2666,0.001
2221,139,1.4397,0.001
2237,140,1.4461,0.001
2253,141,1.3621,0.001
2269,142,1.2155,0.001
2285,143,1.3094,0.001
2301,144,1.3193,0.001
2317,145,1.4616,0.001
2333,146,1.1679,0.001
2349,147,1.4774,0.001
2365,148,1.3192,0.001
2381,149,1.3731,0.001
2397,150,1.0482,0.001
2413,151,1.1082,0.001
2429,152,1.3525,0.001
2445,153,1.2159,0.001
2461,154,1.3695,0.001
2477,155,1.4006,0.001
2493,156,1.0335,0.001
2509,157,1.0134,0.001
2525,158,1.3644,0.001
2541,159,1.3704,0.001
2557,160,1.5587,0.001
2573,161,1.6424,0.001
2589,162,1.1602,0.001
2605,163,1.357,0.001
2621,164,1.395,0.001
2637,165,1.2224,0.001
2653,166,1.2757,0.001
2669,167,1.1056,0.001
2685,168,1.0677,0.001
2701,169,1.0012,0.001
2717,170,1.4102,0.001
2733,171,1.3401,0.001
2749,172,1.1259,0.001
2765,173,1.2543,0.001
2781,174,1.1207,0.001
2797,175,1.2441,0.001
2813,176,1.2373,0.001
2829,177,1.2807,0.001
2845,178,1.0396,0.001
2861,179,1.2235,0.001
2874,180,0.9874,0.001
2890,181,1.0413,0.001
2906,182,1.0268,0.001
2922,183,0.9923,0.001
2938,184,1.2564,0.001
2954,185,1.1507,0.001
2970,186,1.3388,0.001
2986,187,1.2406,0.001
3002,188,1.0541,0.001
3018,189,1.0867,0.001
3034,190,1.1292,0.001
3050,191,1.0741,0.001
3066,192,1.1982,0.001
3082,193,1.2265,0.001
3098,194,0.9657,0.001
3114,195,0.9485,0.001
3130,196,0.9305,0.001
3146,197,0.9921,0.001
3162,198,0.8279,0.001
3178,199,1.007,0.001
3194,200,1.0331,0.001
3210,201,0.8905,0.001
3226,202,0.9623,0.001
3242,203,0.8395,0.001
3258,204,0.9805,0.001
3274,205,1.0993,0.001
3290,206,1.0311,0.001
3306,207,0.8644,0.001
3322,208,1.0258,0.001
3338,209,1.1617,0.001
3354,210,1.0495,0.001
3370,211,0.9238,0.001
3386,212,0.9862,0.001
3402,213,1.1507,0.001
3418,214,1.0492,0.001
3434,215,1.0457,0.001
3450,216,0.8495,0.001
3466,217,1.1687,0.001
3482,218,0.9545,0.001
3498,219,0.9773,0.001
3514,220,1.1151,0.001
3530,221,0.9949,0.001
3546,222,1.0489,0.001
3562,223,0.949,0.001
3578,224,1.0062,0.001
3594,225,1.0336,0.001
3610,226,1.012,0.001
3626,227,0.6872,0.001
3642,228,0.9863,0.001
3658,229,0.8738,0.001
3674,230,0.8544,0.001
3690,231,0.7918,0.001
3706,232,0.7907,0.001
3722,233,1.1036,0.001
3738,234,0.8953,0.001
3754,235,0.7547,0.001
3770,236,1.0915,0.001
3786,237,1.0506,0.001
3802,238,0.7513,0.001
3818,239,0.6355,0.001
3834,240,1.0873,0.001
3850,241,1.0171,0.001
3866,242,0.8539,0.001
3882,243,0.943,0.001
3898,244,0.792,0.001
3914,245,0.7224,0.001
3930,246,0.7402,0.001
3946,247,1.0936,0.001
3962,248,0.8367,0.001
3978,249,0.7433,0.001
3994,250,1.0926,0.001
4010,251,1.0549,0.001
4026,252,0.7612,0.001
4042,253,0.7347,0.001
4058,254,0.7242,0.001
4074,255,0.8968,0.001
4090,256,1.006,0.001
4106,257,0.9003,0.001
4122,258,1.031,0.001
4138,259,0.7127,0.001
4154,260,0.7,0.001
4170,261,0.7261,0.001
4186,262,0.7922,0.001
4202,263,0.9223,0.001
4218,264,0.9002,0.001
4234,265,0.8871,0.001
4250,266,1.0096,0.001
4266,267,0.9371,0.001
4282,268,0.8775,0.001
4298,269,0.7222,0.001
4311,270,0.8909,0.001
4327,271,0.7443,0.001
4343,272,0.7139,0.001
4359,273,0.9613,0.001
4375,274,0.6743,0.001
4391,275,0.9075,0.001
4407,276,0.8508,0.001
4423,277,0.6181,0.001
4439,278,0.8014,0.001
4455,279,0.6428,0.001
4471,280,0.6662,0.001
4487,281,0.6488,0.001
4503,282,0.7297,0.001
4519,283,0.784,0.001
4535,284,0.5827,0.001
4551,285,0.957,0.001
4567,286,0.6109,0.001
4583,287,0.7515,0.001
4599,288,0.5156,0.001
4615,289,0.745,0.001
4631,290,0.9022,0.001
4647,291,0.6287,0.001
4663,292,0.5726,0.001
4679,293,0.6446,0.001
4695,294,0.8466,0.001
4711,295,0.7405,0.001
4727,296,0.8469,0.001
4743,297,0.721,0.001
4759,298,0.5283,0.001
4775,299,0.7144,0.001
4791,300,0.6896,0.001
4807,301,0.8062,0.001
4823,302,0.7488,0.001
4839,303,0.8662,0.001
4855,304,0.5976,0.001
4871,305,0.6632,0.001
4887,306,0.9372,0.001
4903,307,0.5215,0.001
4919,308,0.5679,0.001
4935,309,0.5157,0.001
4951,310,0.5246,0.001
4967,311,0.6555,0.001
4983,312,0.5228,0.001
4999,313,0.6882,0.001
5015,314,0.9427,0.001
5031,315,0.7574,0.001
5047,316,0.7218,0.001
5063,317,0.5276,0.001
5079,318,0.7624,0.001
5095,319,0.629,0.001
5111,320,0.7955,0.001
5127,321,0.6853,0.001
5143,322,0.6469,0.001
5159,323,0.5315,0.001
5175,324,0.6391,0.001
5191,325,0.4885,0.001
5207,326,0.5614,0.001
5223,327,0.8558,0.001
