samples,mini_batches,train_loss,lr
16,1,1.6344,0.001
32,2,1.6105,0.001
48,3,1.5875,0.001
64,4,1.6158,0.001
80,5,1.5863,0.001
96,6,1.5973,0.001
112,7,1.593,0.001
128,8,1.5341,0.001
144,9,1.5415,0.001
160,10,1.5596,0.001
176,11,1.5548,0.001
192,12,1.5062,0.001
208,13,1.4823,0.001
224,14,1.5116,0.001
237,15,1.4202,0.001
253,16,1.489,0.001
269,17,1.4149,0.001
285,18,1.5409,0.001
301,19,1.2819,0.001
317,20,1.4103,0.001
333,21,1.3804,0.001
349,22,1.2665,0.001
365,23,1.2436,0.001
381,24,1.2537,0.001
397,25,1.3357,0.001
413,26,1.2697,0.001
429,27,1.432,0.001
445,28,0.9006,0.001
461,29,1.4618,0.001
474,30,1.3248,0.001
490,31,0.9037,0.001
506,32,1.0921,0.001
522,33,1.3171,0.001
538,34,0.9239,0.001
554,35,1.0891,0.001
570,36,0.9471,0.001
586,37,0.9099,0.001
602,38,1.1687,0.001
618,39,1.1417,0.001
634,40,1.4503,0.001
650,41,0.9717,0.001
666,42,1.2976,0.001
682,43,1.2576,0.001
698,44,1.1578,0.001
711,45,1.0045,0.001
727,46,1.5949,0.001
743,47,0.5007,0.001
759,48,0.9282,0.001
775,49,1.0452,0.001
791,50,1.1634,0.001
807,51,0.8348,0.001
823,52,0.8695,0.001
839,53,0.9013,0.001
855,54,1.2708,0.001
871,55,1.074,0.001
887,56,1.2019,0.001
903,57,0.915,0.001
919,58,1.1,0.001
935,59,0.5915,0.001
948,60,1.0175,0.001
964,61,1.1214,0.001
980,62,0.9206,0.001
996,63,0.8815,0.001
1012,64,0.7757,0.001
1028,65,0.9116,0.001
1044,66,1.0722,0.001
1060,67,1.1835,0.001
1076,68,1.1575,0.001
1092,69,0.5823,0.001
1108,70,1.0172,0.001
1124,71,0.9406,0.001
1140,72,1.0295,0.001
1156,73,0.8634,0.001
1172,74,0.8661,0.001
1185,75,0.6863,0.001
1201,76,0.846,0.001
1217,77,0.6574,0.001
1233,78,1.1299,0.001
1249,79,0.6632,0.001
1265,80,0.9883,0.001
1281,81,0.8714,0.001
1297,82,0.6448,0.001
1313,83,0.7969,0.001
1329,84,0.9993,0.001
1345,85,0.9229,0.001
1361,86,0.7833,0.001
1377,87,1.1704,0.001
1393,88,1.1271,0.001
