samples,mini_batches,train_loss,lr
16,1,1.6082,0.001
32,2,1.616,0.001
48,3,1.6011,0.001
64,4,1.6169,0.001
80,5,1.6026,0.001
96,6,1.6007,0.001
112,7,1.6018,0.001
128,8,1.5757,0.001
144,9,1.5391,0.001
160,10,1.5697,0.001
176,11,1.5512,0.001
192,12,1.513,0.001
208,13,1.5435,0.001
224,14,1.5094,0.001
240,15,1.4317,0.001
256,16,1.4173,0.001
272,17,1.3991,0.001
288,18,1.5677,0.001
297,19,1.2066,0.001
313,20,1.4464,0.001
329,21,1.2989,0.001
345,22,1.2978,0.001
361,23,1.2704,0.001
377,24,1.3202,0.001
393,25,1.2239,0.001
409,26,1.0626,0.001
425,27,1.417,0.001
441,28,1.1996,0.001
457,29,1.348,0.001
473,30,1.2235,0.001
489,31,1.2353,0.001
505,32,0.8804,0.001
521,33,1.1296,0.001
537,34,0.9493,0.001
553,35,1.3868,0.001
569,36,1.3052,0.001
585,37,1.296,0.001
594,38,0.9841,0.001
610,39,0.9144,0.001
626,40,1.1337,0.001
642,41,0.8907,0.001
658,42,0.9739,0.001
674,43,1.2732,0.001
690,44,0.6304,0.001
706,45,1.1169,0.001
722,46,1.1772,0.001
738,47,1.0608,0.001
754,48,1.6911,0.001
770,49,1.1896,0.001
786,50,0.8562,0.001
802,51,0.7732,0.001
818,52,1.0596,0.001
834,53,0.7816,0.001
850,54,1.006,0.001
866,55,1.0459,0.001
882,56,0.9065,0.001
891,57,0.6231,0.001
907,58,1.1253,0.001
923,59,1.3894,0.001
939,60,1.2292,0.001
955,61,0.8825,0.001
971,62,1.0662,0.001
987,63,1.0727,0.001
1003,64,0.9042,0.001
1019,65,1.0739,0.001
1035,66,0.8707,0.001
1051,67,0.8411,0.001
1067,68,1.0933,0.001
1083,69,0.8651,0.001
1099,70,0.8449,0.001
1115,71,0.7568,0.001
1131,72,0.5834,0.001
1147,73,0.9265,0.001
1163,74,0.6664,0.001
1179,75,0.7297,0.001
1188,76,0.6135,0.001
1204,77,1.2499,0.001
1220,78,1.1642,0.001
1236,79,1.0529,0.001
1252,80,0.6648,0.001
1268,81,0.9939,0.001
1284,82,0.5609,0.001
1300,83,0.6524,0.001
1316,84,1.2055,0.001
1332,85,0.4896,0.001
1348,86,0.5642,0.001
1364,87,0.5981,0.001
1380,88,0.9014,0.001
1396,89,1.2082,0.001
1412,90,0.7863,0.001
1428,91,0.7687,0.001
1444,92,1.3917,0.001
1460,93,0.9358,0.001
1476,94,0.7717,0.001
1485,95,0.8724,0.001
1501,96,1.3485,0.001
1517,97,0.9908,0.001
1533,98,0.6887,0.001
1549,99,0.8717,0.001
1565,100,0.6709,0.001
1581,101,1.1934,0.001
1597,102,0.7716,0.001
1613,103,0.7623,0.001
1629,104,0.8031,0.001
1645,105,0.7891,0.001
1661,106,0.6494,0.001
1677,107,0.5524,0.001
1693,108,0.9753,0.001
1709,109,0.7278,0.001
1725,110,0.9805,0.001
1741,111,0.6693,0.001
1757,112,1.026,0.001
1773,113,1.3489,0.001
1782,114,0.2908,0.001
1798,115,1.2155,0.001
1814,116,0.6856,0.001
1830,117,1.2855,0.001
1846,118,0.9639,0.001
1862,119,0.8523,0.001
1878,120,0.554,0.001
1894,121,0.7489,0.001
1910,122,0.7101,0.001
1926,123,0.7838,0.001
1942,124,0.5316,0.001
1958,125,0.6693,0.001
1974,126,1.0189,0.001
1990,127,0.6266,0.001
2006,128,0.8943,0.001
2022,129,0.621,0.001
2038,130,1.1492,0.001
2054,131,0.9619,0.001
2070,132,0.7933,0.001
2079,133,0.705,0.001
2095,134,0.7606,0.001
2111,135,0.7202,0.001
2127,136,0.996,0.001
2143,137,0.6678,0.001
2159,138,0.7148,0.001
2175,139,0.7231,0.001
2191,140,1.0784,0.001
2207,141,0.589,0.001
2223,142,0.8136,0.001
2239,143,0.6951,0.001
2255,144,0.7608,0.001
2271,145,0.7824,0.001
2287,146,0.8855,0.001
2303,147,0.8808,0.001
2319,148,0.5103,0.001
2335,149,1.0797,0.001
2351,150,0.7905,0.001
2367,151,0.8637,0.001
2376,152,1.101,0.001
2392,153,0.9063,0.001
2408,154,0.8181,0.001
2424,155,1.0445,0.001
2440,156,1.0522,0.001
2456,157,0.7218,0.001
2472,158,0.6702,0.001
2488,159,0.7081,0.001
2504,160,0.7704,0.001
2520,161,0.5994,0.001
2536,162,0.9458,0.001
2552,163,0.563,0.001
2568,164,0.5906,0.001
2584,165,0.8317,0.001
2600,166,0.8493,0.001
2616,167,0.8822,0.001
2632,168,0.8824,0.001
2648,169,0.7017,0.001
2664,170,0.8591,0.001
2673,171,0.5264,0.001
2689,172,0.8963,0.001
2705,173,0.6406,0.001
2721,174,0.9921,0.001
2737,175,1.0327,0.001
2753,176,0.9073,0.001
2769,177,0.4856,0.001
2785,178,0.6847,0.001
2801,179,0.8098,0.001
2817,180,0.9698,0.001
2833,181,0.9775,0.001
2849,182,0.6314,0.001
2865,183,0.56,0.001
2881,184,0.6975,0.001
2897,185,0.9252,0.001
2913,186,0.4488,0.001
2929,187,0.9671,0.001
2945,188,0.6361,0.001
2961,189,0.5642,0.001
2970,190,0.6833,0.001
2986,191,0.7601,0.001
3002,192,0.5622,0.001
3018,193,0.7829,0.001
3034,194,0.6676,0.001
3050,195,0.7831,0.001
3066,196,0.5106,0.001
3082,197,0.9827,0.001
3098,198,0.7607,0.001
3114,199,0.8288,0.001
3130,200,0.6114,0.001
3146,201,0.2885,0.001
3162,202,1.1206,0.001
3178,203,0.9441,0.001
3194,204,0.9987,0.001
3210,205,1.0407,0.001
3226,206,0.4989,0.001
3242,207,0.6057,0.001
3258,208,0.5581,0.001
3267,209,1.1385,0.001
3283,210,0.9256,0.001
3299,211,0.8495,0.001
3315,212,0.5152,0.001
3331,213,0.629,0.001
3347,214,0.6436,0.001
