samples,mini_batches,train_loss,lr
16,1,1.646,0.001
32,2,1.59,0.001
48,3,1.5028,0.001
64,4,1.6097,0.001
80,5,1.5833,0.001
96,6,1.5455,0.001
112,7,1.6167,0.001
128,8,1.459,0.001
144,9,1.7236,0.001
160,10,1.5456,0.001
176,11,1.5185,0.001
192,12,1.5181,0.001
208,13,1.6054,0.001
224,14,1.6787,0.001
237,15,1.6711,0.001
253,16,1.663,0.001
269,17,1.5163,0.001
285,18,1.42,0.001
301,19,1.4336,0.001
317,20,1.7633,0.001
333,21,1.5956,0.001
349,22,1.396,0.001
365,23,1.5664,0.001
381,24,1.7236,0.001
397,25,1.6289,0.001
413,26,1.5609,0.001
429,27,1.4785,0.001
445,28,1.5217,0.001
461,29,1.6438,0.001
474,30,1.7923,0.001
490,31,1.6652,0.001
506,32,1.5033,0.001
522,33,1.551,0.001
538,34,1.421,0.001
554,35,1.5051,0.001
570,36,1.6188,0.001
586,37,1.5469,0.001
602,38,1.4563,0.001
618,39,1.5831,0.001
634,40,1.6648,0.001
650,41,1.4654,0.001
666,42,1.6454,0.001
682,43,1.5123,0.001
698,44,1.6901,0.001
711,45,1.7319,0.001
727,46,1.5466,0.001
743,47,1.6376,0.001
759,48,1.5805,0.001
775,49,1.6929,0.001
791,50,1.5478,0.001
807,51,1.5362,0.001
823,52,1.3951,0.001
839,53,1.6205,0.001
855,54,1.551,0.001
871,55,1.5017,0.001
887,56,1.5492,0.001
903,57,1.4259,0.001
919,58,1.5304,0.001
935,59,1.6171,0.001
948,60,1.6905,0.001
964,61,1.5756,0.001
980,62,1.4396,0.001
996,63,1.6148,0.001
1012,64,1.6408,0.001
1028,65,1.5661,0.001
1044,66,1.5688,0.001
1060,67,1.4085,0.001
1076,68,1.4437,0.001
1092,69,1.5455,0.001
1108,70,1.6299,0.001
1124,71,1.6804,0.001
1140,72,1.4945,0.001
1156,73,1.5253,0.001
1172,74,1.6295,0.001
1185,75,1.4974,0.001
1201,76,1.4819,0.001
1217,77,1.4915,0.001
1233,78,1.5677,0.001
1249,79,1.5522,0.001
1265,80,1.5292,0.001
1281,81,1.5291,0.001
1297,82,1.5994,0.001
1313,83,1.4688,0.001
1329,84,1.5361,0.001
1345,85,1.4864,0.001
1361,86,1.4921,0.001
1377,87,1.6662,0.001
1393,88,1.5845,0.001
1409,89,1.5374,0.001
1422,90,1.6374,0.001
1438,91,1.5536,0.001
1454,92,1.5769,0.001
1470,93,1.4547,0.001
1486,94,1.5072,0.001
1502,95,1.6052,0.001
1518,96,1.424,0.001
1534,97,1.6444,0.001
1550,98,1.5138,0.001
1566,99,1.442,0.001
1582,100,1.447,0.001
1598,101,1.5229,0.001
1614,102,1.5207,0.001
1630,103,1.5102,0.001
1646,104,1.8096,0.001
1659,105,1.4723,0.001
1675,106,1.489,0.001
1691,107,1.4309,0.001
1707,108,1.5368,0.001
