samples,mini_batches,train_loss,lr
16,1,1.6848,0.001
32,2,1.6695,0.001
48,3,1.6907,0.001
64,4,1.6532,0.001
80,5,1.6675,0.001
96,6,1.6406,0.001
112,7,1.6368,0.001
128,8,1.673,0.001
144,9,1.6472,0.001
160,10,1.642,0.001
176,11,1.6492,0.001
192,12,1.6537,0.001
208,13,1.6702,0.001
224,14,1.6647,0.001
240,15,1.6569,0.001
256,16,1.6804,0.001
272,17,1.6497,0.001
288,18,1.6349,0.001
297,19,1.6336,0.001
313,20,1.6411,0.001
329,21,1.668,0.001
345,22,1.662,0.001
361,23,1.6319,0.001
377,24,1.6584,0.001
393,25,1.6689,0.001
409,26,1.6416,0.001
425,27,1.6494,0.001
441,28,1.6306,0.001
457,29,1.6507,0.001
473,30,1.6486,0.001
489,31,1.6368,0.001
505,32,1.6822,0.001
521,33,1.6549,0.001
537,34,1.7048,0.001
553,35,1.6827,0.001
569,36,1.6128,0.001
585,37,1.6388,0.001
594,38,1.6555,0.001
610,39,1.6428,0.001
626,40,1.6299,0.001
642,41,1.6406,0.001
658,42,1.6682,0.001
674,43,1.6554,0.001
690,44,1.6676,0.001
706,45,1.6615,0.001
722,46,1.6195,0.001
738,47,1.6307,0.001
754,48,1.6609,0.001
770,49,1.6656,0.001
786,50,1.6572,0.001
802,51,1.6566,0.001
818,52,1.6539,0.001
834,53,1.6726,0.001
850,54,1.6143,0.001
866,55,1.6316,0.001
882,56,1.6511,0.001
891,57,1.6509,0.001
907,58,1.6287,0.001
923,59,1.6631,0.001
939,60,1.6465,0.001
955,61,1.6892,0.001
971,62,1.6739,0.001
987,63,1.6289,0.001
1003,64,1.6559,0.001
1019,65,1.6271,0.001
1035,66,1.6403,0.001
1051,67,1.6499,0.001
1067,68,1.6451,0.001
1083,69,1.6414,0.001
1099,70,1.6342,0.001
1115,71,1.6641,0.001
1131,72,1.6465,0.001
1147,73,1.6426,0.001
1163,74,1.6283,0.001
1179,75,1.6131,0.001
1188,76,1.6087,0.001
1204,77,1.6713,0.001
1220,78,1.6218,0.001
1236,79,1.6476,0.001
1252,80,1.6423,0.001
1268,81,1.6487,0.001
1284,82,1.6359,0.001
1300,83,1.6103,0.001
1316,84,1.6722,0.001
1332,85,1.6822,0.001
1348,86,1.5981,0.001
1364,87,1.6183,0.001
1380,88,1.5909,0.001
1396,89,1.6573,0.001
1412,90,1.665,0.001
1428,91,1.6323,0.001
1444,92,1.6438,0.001
1460,93,1.6262,0.001
1476,94,1.645,0.001
1485,95,1.6566,0.001
1501,96,1.6566,0.001
1517,97,1.6001,0.001
1533,98,1.5894,0.001
1549,99,1.6543,0.001
1565,100,1.6392,0.001
1581,101,1.6244,0.001
1597,102,1.6529,0.001
1613,103,1.6511,0.001
1629,104,1.643,0.001
1645,105,1.6048,0.001
1661,106,1.6509,0.001
1677,107,1.6369,0.001
1693,108,1.659,0.001
1709,109,1.6407,0.001
1725,110,1.6188,0.001
1741,111,1.6384,0.001
1757,112,1.6385,0.001
1773,113,1.6405,0.001
1782,114,1.632,0.001
1798,115,1.6197,0.001
1814,116,1.6213,0.001
1830,117,1.6458,0.001
1846,118,1.6443,0.001
1862,119,1.6327,0.001
1878,120,1.6536,0.001
1894,121,1.6048,0.001
1910,122,1.6168,0.001
1926,123,1.6573,0.001
1942,124,1.6271,0.001
1958,125,1.6501,0.001
1974,126,1.6139,0.001
1990,127,1.6365,0.001
2006,128,1.6385,0.001
2022,129,1.6327,0.001
2038,130,1.638,0.001
2054,131,1.6166,0.001
2070,132,1.5999,0.001
2079,133,1.6475,0.001
2095,134,1.648,0.001
2111,135,1.6429,0.001
2127,136,1.6012,0.001
2143,137,1.6171,0.001
2159,138,1.635,0.001
2175,139,1.6188,0.001
2191,140,1.6745,0.001
2207,141,1.6243,0.001
2223,142,1.6335,0.001
2239,143,1.6335,0.001
2255,144,1.6156,0.001
2271,145,1.6308,0.001
2287,146,1.615,0.001
2303,147,1.6266,0.001
2319,148,1.6035,0.001
2335,149,1.6358,0.001
2351,150,1.6303,0.001
2367,151,1.6147,0.001
2376,152,1.5906,0.001
2392,153,1.6112,0.001
2408,154,1.6331,0.001
2424,155,1.5791,0.001
2440,156,1.6438,0.001
2456,157,1.5764,0.001
2472,158,1.6329,0.001
2488,159,1.6298,0.001
2504,160,1.6533,0.001
2520,161,1.6231,0.001
2536,162,1.6041,0.001
2552,163,1.6276,0.001
2568,164,1.6333,0.001
2584,165,1.6252,0.001
2600,166,1.6409,0.001
2616,167,1.6019,0.001
2632,168,1.6311,0.001
2648,169,1.625,0.001
2664,170,1.6159,0.001
2673,171,1.656,0.001
2689,172,1.6224,0.001
2705,173,1.5888,0.001
2721,174,1.6134,0.001
2737,175,1.6332,0.001
2753,176,1.6317,0.001
2769,177,1.6078,0.001
2785,178,1.5884,0.001
2801,179,1.6339,0.001
2817,180,1.6385,0.001
2833,181,1.606,0.001
2849,182,1.6267,0.001
2865,183,1.6235,0.001
2881,184,1.6104,0.001
2897,185,1.6164,0.001
2913,186,1.6431,0.001
2929,187,1.6282,0.001
2945,188,1.6181,0.001
2961,189,1.6154,0.001
2970,190,1.5911,0.001
2986,191,1.6238,0.001
3002,192,1.6,0.001
3018,193,1.62,0.001
3034,194,1.6251,0.001
3050,195,1.5993,0.001
3066,196,1.6168,0.001
3082,197,1.6251,0.001
3098,198,1.6429,0.001
3114,199,1.6061,0.001
3130,200,1.5991,0.001
3146,201,1.6398,0.001
3162,202,1.6108,0.001
3178,203,1.6189,0.001
3194,204,1.584,0.001
3210,205,1.5839,0.001
3226,206,1.6364,0.001
