samples,mini_batches,train_loss,lr
16,1,0.3207,0.001
32,2,1.4561,0.001
48,3,1.0693,0.001
64,4,0.5102,0.001
80,5,0.7115,0.001
96,6,1.691,0.001
112,7,0.7522,0.001
128,8,1.0289,0.001
144,9,0.6564,0.001
160,10,0.9924,0.001
176,11,0.6742,0.001
192,12,0.5407,0.001
208,13,0.7125,0.001
224,14,0.7336,0.001
240,15,0.2106,0.001
256,16,1.012,0.001
272,17,0.3632,0.001
288,18,0.6111,0.001
304,19,0.4787,0.001
320,20,0.7286,0.001
336,21,0.3992,0.001
352,22,0.4501,0.001
368,23,0.5443,0.001
384,24,0.6884,0.001
400,25,0.5399,0.001
416,26,0.537,0.001
432,27,0.5186,0.001
448,28,0.5121,0.001
464,29,0.5548,0.001
480,30,0.4176,0.001
496,31,0.4128,0.001
512,32,0.7867,0.001
528,33,0.3804,0.001
544,34,0.4549,0.001
560,35,0.3191,0.001
576,36,0.3821,0.001
592,37,0.2359,0.001
608,38,0.2921,0.001
624,39,0.2775,0.001
640,40,0.2957,0.001
656,41,0.2437,0.001
672,42,0.1917,0.001
688,43,0.3488,0.001
704,44,0.5474,0.001
720,45,0.6224,0.001
736,46,0.3283,0.001
752,47,0.2087,0.001
768,48,0.4674,0.001
784,49,0.51,0.001
800,50,0.2635,0.001
816,51,0.3664,0.001
832,52,0.2521,0.001
848,53,0.589,0.001
864,54,0.2654,0.001
880,55,0.532,0.001
896,56,0.4139,0.001
912,57,0.5735,0.001
928,58,0.2927,0.001
944,59,0.3816,0.001
960,60,0.3982,0.001
976,61,0.2892,0.001
992,62,0.4359,0.001
1008,63,0.3239,0.001
1024,64,0.5027,0.001
1040,65,0.1425,0.001
1056,66,0.2516,0.001
1072,67,0.3058,0.001
1088,68,0.1641,0.001
1104,69,0.1035,0.001
1120,70,0.2419,0.001
1136,71,0.2729,0.001
1152,72,0.2347,0.001
1168,73,0.1544,0.001
1184,74,0.4959,0.001
1200,75,0.1554,0.001
1216,76,0.4869,0.001
1232,77,0.6911,0.001
1248,78,0.2185,0.001
1264,79,0.153,0.001
1280,80,0.3636,0.001
1296,81,0.133,0.001
1312,82,0.088,0.001
1328,83,0.2594,0.001
1344,84,0.1613,0.001
1360,85,0.2132,0.001
1376,86,0.2332,0.001
1392,87,0.2279,0.001
1408,88,0.0875,0.001
1424,89,0.2123,0.001
1440,90,0.1378,0.001
1456,91,0.177,0.001
1472,92,0.2023,0.001
1488,93,0.1556,0.001
1504,94,0.21,0.001
1520,95,0.2675,0.001
1536,96,0.2092,0.001
1552,97,0.2218,0.001
1568,98,0.3999,0.001
1584,99,0.1203,0.001
1600,100,0.266,0.001
1616,101,0.6866,0.001
1632,102,0.1505,0.001
1648,103,0.21,0.001
1664,104,0.2915,0.001
1680,105,0.3854,0.001
1696,106,0.1522,0.001
1712,107,0.1181,0.001
1728,108,0.1177,0.001
1744,109,0.9592,0.001
1760,110,0.3033,0.001
1776,111,0.2021,0.001
1792,112,0.6083,0.001
1808,113,0.0963,0.001
1824,114,0.2117,0.001
1840,115,0.1792,0.001
1856,116,0.2204,0.001
1872,117,0.2058,0.001
1888,118,0.1284,0.001
1904,119,0.8687,0.001
1920,120,0.3865,0.001
