samples,mini_batches,train_loss
16,1,1.6174321174621582
32,2,10.282384872436523
48,3,34.134490966796875
64,4,55.8288688659668
80,5,24.768003463745117
96,6,34.278594970703125
112,7,nan
128,8,nan
144,9,nan
160,10,nan
176,11,nan
192,12,nan
208,13,nan
224,14,nan
240,15,nan
256,16,nan
272,17,nan
288,18,nan
297,19,nan
313,20,nan
329,21,nan
345,22,nan
361,23,nan
377,24,nan
393,25,nan
409,26,nan
425,27,nan
441,28,nan
457,29,nan
473,30,nan
489,31,nan
505,32,nan
521,33,nan
537,34,nan
553,35,nan
569,36,nan
585,37,nan
594,38,nan
610,39,nan
626,40,nan
642,41,nan
658,42,nan
674,43,nan
690,44,nan
706,45,nan
722,46,nan
738,47,nan
754,48,nan
770,49,nan
786,50,nan
802,51,nan
818,52,nan
834,53,nan
850,54,nan
866,55,nan
882,56,nan
891,57,nan
907,58,nan
923,59,nan
939,60,nan
955,61,nan
971,62,nan
987,63,nan
1003,64,nan
1019,65,nan
1035,66,nan
1051,67,nan
1067,68,nan
1083,69,nan
1099,70,nan
1115,71,nan
1131,72,nan
1147,73,nan
1163,74,nan
1179,75,nan
1188,76,nan
1204,77,nan
1220,78,nan
1236,79,nan
1252,80,nan
1268,81,nan
1284,82,nan
1300,83,nan
1316,84,nan
1332,85,nan
1348,86,nan
1364,87,nan
1380,88,nan
1396,89,nan
1412,90,nan
