samples,mini_batches,train_loss
16,1,0.8502
32,2,22.2733
48,3,0.2098
64,4,6.4476
80,5,0.2219
96,6,8.7081
112,7,nan
128,8,nan
144,9,nan
160,10,nan
176,11,nan
192,12,nan
208,13,nan
224,14,nan
240,15,nan
256,16,nan
272,17,nan
288,18,nan
304,19,nan
320,20,nan
336,21,nan
352,22,nan
368,23,nan
384,24,nan
400,25,nan
416,26,nan
432,27,nan
448,28,nan
464,29,nan
480,30,nan
496,31,nan
512,32,nan
528,33,nan
544,34,nan
560,35,nan
576,36,nan
592,37,nan
608,38,nan
624,39,nan
640,40,nan
656,41,nan
672,42,nan
688,43,nan
704,44,nan
720,45,nan
736,46,nan
752,47,nan
768,48,nan
784,49,nan
800,50,nan
816,51,nan
832,52,nan
848,53,nan
864,54,nan
880,55,nan
896,56,nan
912,57,nan
928,58,nan
944,59,nan
960,60,nan
976,61,nan
992,62,nan
1008,63,nan
1024,64,nan
1040,65,nan
1056,66,nan
1072,67,nan
1088,68,nan
1104,69,nan
1120,70,nan
1136,71,nan
1152,72,nan
1168,73,nan
1184,74,nan
1200,75,nan
1216,76,nan
1232,77,nan
1248,78,nan
1264,79,nan
1280,80,nan
1296,81,nan
1312,82,nan
1328,83,nan
1344,84,nan
1360,85,nan
1376,86,nan
1392,87,nan
1408,88,nan
1424,89,nan
1440,90,nan
1456,91,nan
1472,92,nan
1488,93,nan
1504,94,nan
1520,95,nan
1536,96,nan
1552,97,nan
1568,98,nan
1584,99,nan
1600,100,nan
1616,101,nan
1632,102,nan
1648,103,nan
1664,104,nan
1680,105,nan
1696,106,nan
1712,107,nan
1728,108,nan
1744,109,nan
1760,110,nan
1776,111,nan
1792,112,nan
1808,113,nan
1824,114,nan
1840,115,nan
1856,116,nan
1872,117,nan
1888,118,nan
1904,119,nan
1920,120,nan
1936,121,nan
1952,122,nan
1968,123,nan
1984,124,nan
2000,125,nan
2016,126,nan
2032,127,nan
2048,128,nan
2064,129,nan
2080,130,nan
2096,131,nan
2112,132,nan
2128,133,nan
2144,134,nan
2160,135,nan
2176,136,nan
2192,137,nan
2208,138,nan
2224,139,nan
2240,140,nan
2256,141,nan
2272,142,nan
2288,143,nan
2304,144,nan
2320,145,nan
